timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T17:07:05,lstm,machine-2-9,ok,0,33.035,99.9,33.884563,0.801328,0.784824,0.79299,1807,1845,results/logs/lstm__machine-2-9.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-9",
2026-04-20T17:07:38,lstm,machine-3-1,ok,0,33.496,99.9,13.579231,0.820717,0.598837,0.692437,251,344,results/logs/lstm__machine-3-1.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-1",
2026-04-20T17:08:11,lstm,machine-3-10,ok,0,28.254,99.5,3.027868,0.917492,0.477663,0.628249,606,1164,results/logs/lstm__machine-3-10.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-10",
2026-04-20T17:08:40,lstm,machine-3-11,ok,0,33.035,99.5,0.935034,0.026288,0.991111,0.051217,8483,225,results/logs/lstm__machine-3-11.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-11",
2026-04-20T17:09:13,lstm,machine-3-2,ok,0,27.531,99.0,1.532248,0.441441,0.040867,0.074809,111,1199,results/logs/lstm__machine-3-2.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-2",
2026-04-20T17:09:40,lstm,machine-3-3,ok,0,28.034,99.0,0.350634,0.290766,0.170901,0.215273,509,866,results/logs/lstm__machine-3-3.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-3",
2026-04-20T17:10:08,lstm,machine-3-4,ok,0,28.477,99.9,3.783312,0.049764,0.99428,0.094784,20959,1049,results/logs/lstm__machine-3-4.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-4",
2026-04-20T17:10:37,lstm,machine-3-5,ok,0,28.376,99.9,8.34805,0.062635,0.718095,0.11522,6019,525,results/logs/lstm__machine-3-5.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-5",
2026-04-20T17:11:05,lstm,machine-3-6,ok,0,34.355,99.9,2.803729,0.438893,0.822119,0.572275,2422,1293,results/logs/lstm__machine-3-6.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-6",
2026-04-20T17:11:39,lstm,machine-3-7,ok,0,36.866,99.0,1.523104,0.044091,0.724426,0.083124,7870,479,results/logs/lstm__machine-3-7.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-3-7",
